RefSeq IDs	Approved symbol
NM_015162	ACSBG1
NM_030924	ACSBG2
NM_025149	ACSF2
NM_174917	ACSF3
NM_001995	ACSL1
	ACSL1-DT
NM_004457	ACSL3
	ACSL3-AS1
NG_025745	ACSL3P1
NM_004458	ACSL4
NM_016234	ACSL5
NM_015256	ACSL6
	ACSL6-AS1
	ACSL6-AS2
NM_052956	ACSM1
NM_001308172	ACSM2A
NM_182617	ACSM2B
NM_005622	ACSM3
NM_001080454	ACSM4
NM_017888	ACSM5
NG_026352	ACSM5P1
NM_207321	ACSM6
NM_032501	ACSS1
NM_018677	ACSS2
NM_024560	ACSS3
	ACSS3-AS1
NM_001100	ACTA1
NM_001613	ACTA2
NR_125373	ACTA2-AS1
	ACTA3
NM_001101	ACTB
NM_001017992	ACTBL2
NG_022596	ACTBP1
NG_003019	ACTBP2
	ACTBP3
	ACTBP4
	ACTBP5
NG_008793	ACTBP6
	ACTBP7
NG_000840	ACTBP8
NG_003162	ACTBP9
	ACTBP10
	ACTBP11
NG_026958	ACTBP12
NG_022182	ACTBP14
	ACTBP15
NG_022284	ACTBP16
NM_005159	ACTC1
	ACTE1P
NM_001614	ACTG1
NG_001068	ACTG1P1
NG_004636	ACTG1P2
NG_000842	ACTG1P3
	ACTG1P4
	ACTG1P6
	ACTG1P7
	ACTG1P8
NG_001069	ACTG1P9
NG_003039	ACTG1P10
NG_004636	ACTG1P11
	ACTG1P12
	ACTG1P13
NG_023870	ACTG1P14
	ACTG1P15
	ACTG1P16
	ACTG1P17
	ACTG1P18
	ACTG1P19
	ACTG1P20
	ACTG1P21
	ACTG1P22
	ACTG1P23
	ACTG1P24
NR_002929	ACTG1P25
NM_001615	ACTG2
	ACTL2
	ACTL3
	ACTL4
	ACTL5
NM_004301	ACTL6A
	ACTL6A-AS1
NM_016188	ACTL6B
NM_006687	ACTL7A
NM_006686	ACTL7B
NM_030812	ACTL8
NM_178525	ACTL9
	ACTL10
	ACTL11P
NM_198476	ACTMAP
NM_001102	ACTN1
	ACTN1-DT
NM_001103	ACTN2
NM_001104	ACTN3
	ACTN3-AS1
	ACTN4
	ACTN4-AS1
	ACTN4P1
	ACTN4P2
NG_044542	ACTP1
	ACTR1A
NG_021577	ACTR1AP1
NM_005735	ACTR1B
NM_001005386	ACTR2
NG_027472	ACTR2P1
NG_022927	ACTR2P2
NM_005721	ACTR3
NR_110174	ACTR3-AS1
NM_020445	ACTR3B
NG_005799	ACTR3BP1
	ACTR3BP2
	ACTR3BP3
	ACTR3BP4
	ACTR3BP5
	ACTR3BP6
	ACTR3BP7
	ACTR3C
	ACTR3P1
	ACTR3P2
	ACTR3P3
NM_024855	ACTR5
NM_022496	ACTR6
NG_025147	ACTR6P1
NM_022899	ACTR8
	ACTR10
NM_138289	ACTRT1
NG_011795	ACTRT1P1
NM_080431	ACTRT2
NM_032487	ACTRT3
NM_001105	ACVR1
NM_020328	ACVR1B
NM_145259	ACVR1C
NM_001616	ACVR2A
NM_001106	ACVR2B
NR_028389	ACVR2B-AS1
NM_000020	ACVRL1
	ACVRLK2
NM_000666	ACY1
	ACY1L
NM_080658	ACY3
	ACYP1
	ACYP2
	AD1
	AD2
	AD3
	AD4
	AD5
NM_000022	ADA
	ADA2
NM_139243	ADAD1
	ADAD1-AS1
	ADAD1P1
	ADAD1P2
NM_139174	ADAD2
	ADAD2-AS1
NG_001216	ADAM1A
NG_024129	ADAM1B
NM_001464	ADAM2
NR_001569	ADAM3A
NG_001526	ADAM3B
NR_001448	ADAM5
NR_002224	ADAM6
NM_003817	ADAM7
NR_125808	ADAM7-AS1
NR_125809	ADAM7-AS2
NM_001109	ADAM8
	ADAM9
NM_001110	ADAM10
NM_002390	ADAM11
	ADAM12
	ADAM12-OT1
NM_003815	ADAM15
	ADAM17
NM_014237	ADAM18
NM_033274	ADAM19
	ADAM20
NR_037933	ADAM20P1
	ADAM20P2
	ADAM20P3
	ADAM21
NG_002467	ADAM21P1
NM_021723	ADAM22
NM_003812	ADAM23
	ADAM24P
NM_021778	ADAM28
	ADAM29
NM_021794	ADAM30
NM_145004	ADAM32
NM_025220	ADAM33
NM_014479	ADAMDEC1
	ADAMTS1
NM_014244	ADAMTS2
	ADAMTS3
	ADAMTS3-AS1
	ADAMTS3-AS2
	ADAMTS3-AS3
NM_005099	ADAMTS4
	ADAMTS5
NM_197941	ADAMTS6
	ADAMTS6-DT
NM_014272	ADAMTS7
	ADAMTS7P1
	ADAMTS7P2
	ADAMTS7P3
	ADAMTS7P4
NG_027439	ADAMTS7P5
NM_007037	ADAMTS8
	ADAMTS9
NR_110150	ADAMTS9-AS1
NR_038264	ADAMTS9-AS2
NM_030957	ADAMTS10
	ADAMTS10-AS1
NM_030955	ADAMTS12
NM_139025	ADAMTS13
NM_080722	ADAMTS14
NM_139055	ADAMTS15
NM_139056	ADAMTS16
	ADAMTS16-AS1
NR_109915	ADAMTS16-DT
NM_139057	ADAMTS17
	ADAMTS17-AS1
	ADAMTS18
NM_133638	ADAMTS19
NR_125748	ADAMTS19-AS1
NM_025003	ADAMTS20
	ADAMTS21
	ADAMTSL1
NM_014694	ADAMTSL2
NM_207517	ADAMTSL3
NM_019032	ADAMTSL4
	ADAMTSL4-AS1
	ADAMTSL4-AS2
NM_213604	ADAMTSL5
NM_006869	ADAP1
NM_018404	ADAP2
NM_001111	ADAR
NM_015833	ADARB1
NM_018702	ADARB2
NR_033387	ADARB2-AS1
NM_012091	ADAT1
NM_001286259	ADAT2
NM_138422	ADAT3
NM_020421	ADCK1
NM_052853	ADCK2
NM_174922	ADCK5
	ADCP1
	ADCP2
	ADCR
NM_021116	ADCY1
NM_020546	ADCY2
	ADCY2-AS1
	ADCY2-AS2
	ADCY3
	ADCY4
NM_183357	ADCY5
NM_020983	ADCY6
	ADCY6-DT
	ADCY7
	ADCY8
	ADCY9
NM_018417	ADCY10
NR_026938	ADCY10P1
NM_001117	ADCYAP1
NM_001118	ADCYAP1R1
NM_014189	ADD1
	ADD1-DT
NM_001617	ADD2
	ADD2-AS1
NM_019903	ADD3
NR_038943	ADD3-AS1
	ADDL
	ADFN
NM_024694	ADGB
NR_125860	ADGB-DT
	ADGRA1
	ADGRA1-AS1
	ADGRA2
	ADGRA3
	ADGRA3P1
NM_001702	ADGRB1
NM_001703	ADGRB2
	ADGRB3
	ADGRB3-DT
NM_198827	ADGRD1
NR_131950	ADGRD1-AS1
	ADGRD1-AS2
NM_182611	ADGRD2
	ADGRE1
	ADGRE2
NM_032571	ADGRE3
NR_024075	ADGRE4P
NM_078481	ADGRE5
NM_153840	ADGRF1
NM_153839	ADGRF2P
NM_153835	ADGRF3
NM_153838	ADGRF4
NM_015234	ADGRF5
NR_110658	ADGRF5-AS1
	ADGRF5P1
	ADGRF5P2
	ADGRG1
	ADGRG2
NM_170776	ADGRG3
	ADGRG4
NM_153837	ADGRG5
	ADGRG6
	ADGRG7
NM_014921	ADGRL1
NR_045214	ADGRL1-AS1
NM_012302	ADGRL2
	ADGRL3
	ADGRL3-AS1
	ADGRL3-AS2
	ADGRL3-AS3
NM_022159	ADGRL4
NM_032119	ADGRV1
	ADGRV1-AS1
NM_000667	ADH1A
NM_000668	ADH1B
NM_000669	ADH1C
NM_000670	ADH4
NM_000671	ADH5
	ADH5P1
	ADH5P2
	ADH5P3
XM_208352	ADH5P4
	ADH5P5
NM_000672	ADH6
NM_000673	ADH7
NM_144650	ADHFE1
NM_018269	ADI1
	ADI1P1
	ADI1P2
	ADI1P3
NM_001018082	ADIG
NR_176917	ADIPINT
NM_004797	ADIPOQ
NR_046662	ADIPOQ-AS1
NM_015999	ADIPOR1
NG_022165	ADIPOR1P1
NG_022863	ADIPOR1P2
NM_024551	ADIPOR2
	ADIR
NM_006829	ADIRF
	ADIRF-AS1
NM_001039140	ADISSP
	ADISSPP1
	ADISSPP2
NM_006721	ADK
	ADK-AS1
	ADL
NM_001124	ADM
	ADM-DT
NM_024866	ADM2
NM_001101340	ADM5
	ADMLX
	ADMLY
NM_181442	ADNP
NR_110009	ADNP-AS1
NM_014913	ADNP2
NM_032804	ADO
NM_000674	ADORA1
	ADORA1-AS1
	ADORA1-AS2
NM_000675	ADORA2A
NR_028483	ADORA2A-AS1
	ADORA2B
NG_000843	ADORA2BP1
	ADORA2L1
	ADORA2L2
NM_000677, NM_020683	ADORA3
NM_031284	ADPGK
NR_040107	ADPGK-AS1
NM_001125	ADPRH
	ADPRH-AS1
NM_138430	ADPRHL1
NM_020233	ADPRM
NM_017825	ADPRS
NM_033303	ADRA1A
	ADRA1B
	ADRA1C
NM_000678	ADRA1D
NM_000681	ADRA2A
	ADRA2B
NM_000683	ADRA2C
	ADRA2L1
	ADRB1
NM_000024	ADRB2
	ADRB2RL1
NM_000025	ADRB3
	ADRM1
NM_000026	ADSL
	ADSS1
NM_001126	ADSS2
	ADT
	ADTAA
	ADTAB
	ADTB1
	ADTB2
	ADTG
NM_032744	ADTRP
	AE1
	AE2
NM_001129	AEBP1
NM_153207	AEBP2
	AEMK
NM_022767	AEN
	AEPLC
	AEZ
	AF8T
	AFA
NM_021638	AFAP1
NR_026892	AFAP1-AS1
	AFAP1-AS2
NM_152406	AFAP1L1
NM_032550	AFAP1L2
	AFCP
	AFD1
NM_005936	AFDN
NR_027906	AFDN-DT
NM_005935	AFF1
NR_038841	AFF1-AS1
NM_002025	AFF2
	AFF2-IT1
NM_002285	AFF3
NM_014423	AFF4
NR_186175	AFF4-DT
	AFF4P1
NM_145315	AFG1L
NM_145207	AFG2A
NM_024063	AFG2B
	AFG3
NR_003226	AFG3L1P
NM_006796	AFG3L2
	AFG3L2P1
	AFM
NM_001145526	AFMID
	AFP
NM_017657	AFTPH
NR_136167	AFTPH-DT
NM_000027	AGA
	AGA-DT
NM_014914	AGAP1
	AGAP1-IT1
NM_014770	AGAP2
NR_027032	AGAP2-AS1
NM_031946	AGAP3
NM_133446	AGAP4
NM_001144000	AGAP5
NM_001077665	AGAP6
NR_126580	AGAP7P
	AGAP8
NM_001190810	AGAP9
	AGAP10
NG_005805	AGAP10P
NM_133447	AGAP11
	AGAP12P
	AGAP13P
NG_005806	AGAP14P
NM_152336	AGBL1
	AGBL1-AS1
NM_024783	AGBL2
NM_178563	AGBL3
NM_032785	AGBL4
NR_125988	AGBL4-AS1
	AGBL4-IT1
NM_021831	AGBL5
	AGBL5-AS1
	AGBL5-IT1
NM_001136	AGER
NM_004504	AGFG1
NM_006076	AGFG2
NM_018046	AGGF1
	AGGF1P1
NG_005569	AGGF1P2
	AGGF1P3
	AGGF1P4
	AGGF1P5
	AGGF1P6
	AGGF1P7
	AGGF1P8
	AGGF1P9
	AGGF1P10
NM_018238	AGK
	AGK-DT
NG_002810	AGKP1
NG_022637	AGKP2
NM_000028	AGL
NM_024758	AGMAT
NM_001004320	AGMO
	AGMX1
	AGMX2
	AGO1
NM_012154	AGO2
NM_024852	AGO3
NM_017629	AGO4
NM_006411	AGPAT1
NM_006412	AGPAT2
NM_020132	AGPAT3
NM_020133	AGPAT4
NR_024277	AGPAT4-IT1
NM_018361	AGPAT5
	AGPAT5P1
	AGPS
NM_006408	AGR2
NM_176813	AGR3
NM_198576	AGRN
	AGRP
	AGS
	AGS1
	AGS2
NM_000029	AGT
	AGTBP
	AGTIL
NM_015239	AGTPBP1
	AGTR1
	AGTR1B
NM_000686	AGTR2
NM_020350	AGTRAP
	AGTRL2
NM_000030	AGXT
NM_031900	AGXT2
	AGXT2-AS1
	AHC
NM_015446	AHCTF1
NG_002622	AHCTF1P1
NM_000687	AHCY
	AHCYL1
	AHCYL2
NG_022175	AHCYP1
NG_021677	AHCYP2
NG_021515	AHCYP3
NG_021526	AHCYP4
NG_021544	AHCYP5
NG_024541	AHCYP6
NG_022129	AHCYP7
	AHCYP8
	AHDC1
	AHDS
NM_017651	AHI1
NR_026805	AHI1-DT
NM_024060	AHNAK
NM_138420	AHNAK2
NM_001621	AHR
NM_020731	AHRR
NM_012111	AHSA1
	AHSA2P
NM_001622	AHSG
NM_016633	AHSP
	AIC
NM_020661	AICDA
NM_022831	AIDA
NG_021555	AIDAP1
NG_030225	AIDAP2
NG_030062	AIDAP3
	AIED
	AIF1
NM_031426	AIF1L
	AIFM1
NG_021350	AIFM1P1
NM_032797	AIFM2
NM_144704	AIFM3
NM_016108	AIG1
	AIG1P1
	AIH1
	AIH2
	AIH3
NM_004833	AIM2
NM_004757	AIMP1
	AIMP1P1
NG_032149	AIMP1P2
NM_006303	AIMP2
	AIP
NM_014336	AIPL1
	AIRE
NM_017850	AIRIM
NR_047511	AIRN
	AIS1
	AIS2
	AIS3
NM_018836	AJAP1
NM_001080482	AJM1
	AJUBA
	AJUBA-DT
	AK1
NM_001625	AK2
	AK2-AS1
NG_002393	AK2P1
NG_009660	AK2P2
NM_016282	AK3
	AK3P2
NG_026542	AK3P3
	AK3P4
	AK3P5
NG_032224	AK3P6
	AK3P7
NM_013410	AK4
NG_001070	AK4P1
	AK4P2
NG_007564	AK4P3
NG_021605	AK4P4
NG_027847	AK4P5
NG_022085	AK4P6
NM_174858	AK5
	AK5-AS1
NM_016283	AK6
	AK6
	AK6P1
	AK6P2
	AK7
NM_152572	AK8
NM_001145128	AK9
NM_001145194	AKAIN1
	AKAIN1-AS1
	AKAP1
	AKAP1-DT
	AKAP2
NM_006422	AKAP3
NM_003886	AKAP4
	AKAP5
NM_004274	AKAP6
NM_004842	AKAP7
NM_005858	AKAP8
NM_014371	AKAP8L
NG_021607	AKAP8P1
NM_005751	AKAP9
NM_007202	AKAP10
NM_016248	AKAP11
	AKAP11-IT1
	AKAP12
NM_007200	AKAP13
	AKAP13-AS1
NM_178813	AKAP14
NM_005088	AKAP17A
NG_022632	AKAP17BP
NM_032321	AKAP19
	AKD2
NM_020642	AKIP1
NM_024595	AKIRIN1
	AKIRIN1P1
	AKIRIN1P2
NM_018064	AKIRIN2
	AKIRIN2-AS1
