RefSeq IDs	Approved symbol
	ELANH2
NM_020775	ELAPOR1
NM_152748	ELAPOR2
NM_001419	ELAVL1
NM_004432	ELAVL2
NM_001420	ELAVL3
NM_021952	ELAVL4
	ELAVL4-AS1
	ELDR
NM_172373	ELF1
NM_006874	ELF2
	ELF2-DT
NG_006555	ELF2P1
NG_002340	ELF2P2
NG_002341	ELF2P3
NG_006556	ELF2P4
NM_004433	ELF3
NR_146472	ELF3-AS1
NM_001421	ELF4
NM_198381	ELF5
NM_001128636	ELFN1
	ELFN1-AS1
NM_052906	ELFN2
	ELFN2-AS1
NM_005229	ELK1
NG_006972	ELK1P1
	ELK2
	ELK2AP
	ELK2BP
NM_005230	ELK3
NM_021795	ELK4
NM_006532	ELL
NM_012081	ELL2
	ELL2P1
	ELL2P2
NG_028874	ELL2P3
	ELL2P4
NM_025165	ELL3
NM_130442	ELMO1
	ELMO1-AS1
NM_022086	ELMO2
	ELMO2P1
NM_024712	ELMO3
NM_018712	ELMOD1
NM_153702	ELMOD2
NM_032213	ELMOD3
NM_000501	ELN
	ELN-AS1
	ELNL1
	ELNR1
NM_003198	ELOA
	ELOA-AS1
NM_016427	ELOA2
	ELOA3BP
	ELOA3CP
NG_070700	ELOA3DP
NG_016749	ELOA3P
NG_023725	ELOAP1
NM_007108	ELOB
	ELOBP1
	ELOBP2
	ELOBP3
	ELOBP4
NM_005648	ELOC
NG_003219	ELOCP2
	ELOCP3
	ELOCP4
	ELOCP5
	ELOCP6
	ELOCP7
	ELOCP8
	ELOCP9
	ELOCP10
	ELOCP11
	ELOCP12
	ELOCP13
	ELOCP14
	ELOCP15
	ELOCP16
	ELOCP17
	ELOCP18
	ELOCP19
	ELOCP20
	ELOCP21
	ELOCP22
	ELOCP23
	ELOCP24
	ELOCP26
	ELOCP27
	ELOCP28
	ELOCP29
	ELOCP30
	ELOCP31
	ELOCP32
	ELOCP33
	ELOCP34
	ELOCP35
	ELOCP36
NM_032377	ELOF1
NM_022821	ELOVL1
	ELOVL2
NR_038962	ELOVL2-AS1
NM_152310	ELOVL3
	ELOVL4
NM_021814	ELOVL5
NM_024090	ELOVL6
	ELOVL6-AS1
	ELOVL7
	ELP1
NM_018255	ELP2
NM_018091	ELP3
NM_019040	ELP4
	ELP4-AS1
NM_015362	ELP5
NM_017713	ELP6
	ELSPBP1
NM_198449	EMB
	EMB-AS1
NR_003955	EMBP1
NM_015047	EMC1
NR_135114	EMC1-AS1
NM_014673	EMC2
NM_018447	EMC3
	EMC3-AS1
NM_016454	EMC4
NM_031298	EMC6
NM_020154	EMC7
NM_006067	EMC8
NM_016049	EMC9
NM_175063	EMC10
NM_016242	EMCN
	EMCN-AS1
	EMD
NM_152463	EME1
NM_001010865	EME2
NM_006331	EMG1
	EMICERI
NM_133455	EMID1
NM_007046	EMILIN1
NM_032048	EMILIN2
NM_052846	EMILIN3
	EMILIN5
NM_001008707	EML1
NM_012155	EML2
NR_130728	EML2-AS1
NM_153265	EML3
NM_019063	EML4
NR_110584	EML4-AS1
	EML5
NM_001039753	EML6
	EML6-AS1
NM_001423	EMP1
NM_001424	EMP2
NG_023036	EMP2P1
NM_001425	EMP3
NR_110115	EMSLR
NM_020193	EMSY
NR_186346	EMSY-DT
	EMWX
	EMX1
NM_004098	EMX2
NR_002791	EMX2OS
	EN1
NM_001427	EN2
	EN2-DT
NM_018212	ENAH
NG_022288	ENAHP1
NM_031889	ENAM
	ENAM-AS1
NM_003633	ENC1
NM_015036	ENDOD1
NM_004435	ENDOG
	ENDOGL2
NM_006025.2	ENDOU
NM_173627	ENDOV
	ENEMAL
	ENG
NM_022759	ENGASE
NM_198573	ENHO
	ENHO-AS1
NM_032140	ENKD1
NM_145010	ENKUR
NM_001428	ENO1
	ENO1-AS1
	ENO1-IT1
	ENO1L1
NG_001115	ENO1P1
NG_022137	ENO1P2
	ENO1P3
	ENO1P4
	ENO2
	ENO3
NM_001242699	ENO4
NM_021204	ENOPH1
NG_022234	ENOPH1P1
NM_017512	ENOSF1
NM_017993	ENOX1
	ENOX1-AS1
	ENOX1-AS2
NM_182314	ENOX2
NR_135655	ENOX2-AS1
	ENPEP
	ENPEPP1
	ENPP1
	ENPP2
	ENPP3
	ENPP4
	ENPP5
NM_153343	ENPP6
NM_178543	ENPP7
	ENPP7P1
	ENPP7P2
	ENPP7P3
	ENPP7P4
	ENPP7P5
	ENPP7P6
	ENPP7P7
	ENPP7P8
	ENPP7P9
	ENPP7P10
	ENPP7P11
	ENPP7P12
	ENPP7P13
	ENPP7P14
	ENPP7P15
NM_207042	ENSA
	ENSAP1
NG_002495	ENSAP2
	ENSAP3
	ENT1
	ENT2
NM_152512	ENTHD1
NM_001776	ENTPD1
NR_038444	ENTPD1-AS1
NM_203468	ENTPD2
NM_001248	ENTPD3
NR_040100	ENTPD3-AS1
NM_004901	ENTPD4
	ENTPD4-DT
NM_001249	ENTPD5
	ENTPD6
NM_020354	ENTPD7
NM_198585	ENTPD8
NM_006643	ENTR1
NG_005510	ENTR1P1
NG_022743	ENTR1P2
NM_004816	ENTREP1
NM_015307	ENTREP2
NM_006589	ENTREP3
	ENUR1
	ENUR2
	ENX2
NM_020189	ENY2
NM_173654	EOGT
	EOGT-DT
NM_178124	EOLA1
NR_027455	EOLA1-DT
NM_001013845	EOLA2
NR_027456	EOLA2-DT
NM_005442	EOMES
NM_001429	EP300
	EP300-AS1
NM_015409	EP400
NR_003290	EP400P1
NM_001430	EPAS1
	EPB3
	EPB3L1
NM_203342	EPB41
NM_012156	EPB41L1
NR_147703	EPB41L1-AS1
	EPB41L2
NM_012307	EPB41L3
	EPB41L3-AS1
	EPB41L4A
NR_015370	EPB41L4A-AS1
	EPB41L4A-AS2
	EPB41L4A-AS3
NR_027706	EPB41L4A-DT
NM_018424	EPB41L4B
NM_020909	EPB41L5
NM_000119	EPB42
	EPC1
NR_104163	EPC1-AS1
	EPC1-AS2
NM_015630	EPC2
	EPCAM
NR_110208	EPCAM-DT
	EPCART
NM_019596	EPCIP
NR_024622	EPCIP-AS1
	EPD1
NM_017549	EPDR1
NM_020964	EPG5
NM_001013442	EPGN
	EPHA1
NR_033897	EPHA1-AS1
NM_004431	EPHA2
	EPHA2-AS1
NM_005233	EPHA3
	EPHA4
NM_004439	EPHA5
	EPHA5-AS1
	EPHA5-AS2
NM_001080448	EPHA6
	EPHA7
NM_020526	EPHA8
NM_173641	EPHA10
NM_004441	EPHB1
NM_017449	EPHB2
NM_004443	EPHB3
NM_004444	EPHB4
	EPHB6
	EPHT1
	EPHT2
	EPHT3
	EPHTLG
NM_000120	EPHX1
NM_001979	EPHX2
NM_024794	EPHX3
NM_173567	EPHX4
NR_122046	EPIC1
NR_105049	EPIST
	EPLG1
	EPLG2
	EPLG3
	EPLG4
	EPLG5
	EPLG6
	EPLG7
	EPLG8
	EPM1
	EPM2A
NR_038244	EPM2A-DT
NM_014805	EPM2AIP1
	EPMR
NM_013333	EPN1
NM_014964	EPN2
NR_048576	EPN2-AS1
NR_046824	EPN2-IT1
NM_017957	EPN3
NM_000799	EPO
NM_001130677	EPOP
	EPOR
	EPPIN
NM_001198986.1	EPPIN-WFDC6
NM_031308	EPPK1
	EPR1
NM_004446	EPRS1
	EPS8
NM_017729	EPS8L1
NM_022772	EPS8L2
NM_024526	EPS8L3
NM_001981	EPS15
	EPS15-AS1
NM_021235	EPS15L1
NG_008280	EPS15P1
NM_001002264	EPSTI1
	EPT
	EPVE6AP
NM_000502	EPX
NM_004950	EPYC
NM_020641	EQTN
	ERAL1
NM_016442	ERAP1
	ERAP1-AS1
NM_022350	ERAP2
NM_181532	ERAS
	ERBA1
	ERBA2
	ERBA2L
	ERBAL2
	ERBAL3
NM_004448	ERBB2
NM_001982	ERBB3
NM_001042599	ERBB4
NM_018695	ERBIN
	ERBIN-DT
NM_015064	ERC1
	ERC1-AS1
NM_015576	ERC2
	ERC2-AS1
NR_024615	ERC2-IT1
NM_001983	ERCC1
NM_000400	ERCC2
NM_000122	ERCC3
NM_005236	ERCC4
	ERCC5
NM_000124	ERCC6
	ERCC6-PGBD3
NM_017669	ERCC6L
NM_001010895	ERCC6L2
NR_023389	ERCC6L2-AS1
NM_000082	ERCC8
	ERCC8-AS1
	ERCM1
	ERCM2
	ERDA1
	EREG
	EREG-AS1
NM_006494	ERF
	ERF1
NM_001291832	ERFE
	ERFL
NM_182918	ERG
NM_007176	ERG28
NM_020462	ERGIC1
NM_016570	ERGIC2
NM_015966	ERGIC3
NM_004450	ERH
	ERHP1
	ERHP2
NM_153332	ERI1
NM_080663	ERI2
NM_024066	ERI3
	ERI3-IT1
	ERICD
NM_207332	ERICH1
	ERICH1-AS1
	ERICH2
NR_110185	ERICH2-DT
NM_001002912	ERICH3
	ERICH3-AS1
NM_001130514	ERICH4
NM_173549	ERICH5
NM_152394	ERICH6
	ERICH6-AS1
NM_182542	ERICH6B
	ERK
NM_015701	ERLEC1
	ERLEC1P1
NM_006459	ERLIN1
NM_007175	ERLIN2
NM_001162997	ERLN
NR_123739	ERLNC1
NM_018538	ERMAP
NM_018341	ERMARD
NM_001009959	ERMN
NM_024896	ERMP1
NM_001433	ERN1
	ERN2
NM_014584	ERO1A
NM_019891	ERO1B
NM_152321	ERP27
	ERP29
NG_000933	ERP29P1
NM_015051	ERP44
	ERPL1
	ERPL2
	ERR
NM_018948	ERRFI1
	ERRFI1-DT
	ERRFI1-IT1
	ERV1
NM_001007253	ERV3-1
	ERV3-2
	ERV9-1
	ERV18-1
	ERVE-1
	ERVE-2
	ERVE-3
	ERVE-4
NR_135636	ERVE-5
	ERVFC1
	ERVFC1-1
	ERVFH21-1
NM_207582	ERVFRD-1
	ERVFRD-2
	ERVFRD-3
	ERVH-1
	ERVH-2
	ERVH-3
	ERVH-4
	ERVH-5
	ERVH-6
	ERVH-7
	ERVH-8
	ERVH-9
	ERVH-10
NM_001308491	ERVH48-1
	ERVI-1
	ERVK-1
	ERVK-2
	ERVK-3
	ERVK-4
	ERVK-5
	ERVK-6
	ERVK-7
	ERVK-8
	ERVK-9
	ERVK-10
	ERVK-11
	ERVK-12
	ERVK-13
	ERVK-14
	ERVK-15
	ERVK-16
	ERVK-17
	ERVK-18
	ERVK-19
	ERVK-20
	ERVK-21
	ERVK-22
	ERVK-23
	ERVK-24
	ERVK-25
	ERVK-26
	ERVK-27
	ERVK-28
	ERVK-29
	ERVK-30
	ERVK-31
	ERVK-32
	ERVK2
	ERVK3
	ERVK3-1
	ERVK3-2
	ERVK3-3
	ERVK3-4
	ERVK3-5
	ERVK3-6
	ERVK3-7
	ERVK3-8
	ERVK9-1
	ERVK9-2
	ERVK9-3
	ERVK9-4
	ERVK9-5
	ERVK9-6
	ERVK9-7
	ERVK9-8
	ERVK9-9
	ERVK9-10
	ERVK9-11
	ERVK9-12
	ERVK11-1
NR_040023	ERVK13-1
NM_024534	ERVMER34-1
	ERVMER61-1
	ERVPABLB-1
	ERVS71-1
	ERVS71-2
	ERVT1
	ERVT2
	ERVT3
	ERVT4
	ERVT5
NM_152473	ERVV-1
NM_001191055	ERVV-2
NM_014590	ERVW-1
	ERVW-2
	ERVW-3
	ERVW-4
	ERVW-5
	ERVW-6
	ERVW-7
	ERVW-8
	ERVW-9
	ERVW-10
	ERVW-11
	ERVW-12
	ERVW-13
	ERVW-14
	ERVW-15
	ERVW-16
	ERVW-17
	ERVW-18
	ERVW-19
	ERVW-20
	ERVW-21
	ERVW-22
	ERVW-23
	ERVW-24
	ERVW-25
	ERVW-26
	ERVW-27
	ERVW-28
	ERVW-29
	ESA4
NM_138961	ESAM
NR_120577	ESAM-AS1
	ESAT
	ESB3
NM_052911	ESCO1
NM_001017420	ESCO2
	ESD
NG_025901	ESDP1
NM_016649	ESF1
NM_007036	ESM1
NM_012291	ESPL1
NM_031475	ESPN
NM_194312	ESPNL
	ESPNP
NM_000125	ESR1
	ESR2
NR_027122	ESRG
	ESRL1
	ESRL2
NM_017697	ESRP1
NM_024939	ESRP2
NM_004451	ESRRA
NG_001009	ESRRAP1
NR_000033	ESRRAP2
	ESRRB
NM_206595	ESRRG
	ESS2
	ESTF
	ESX
NM_153448	ESX1
NM_015292	ESYT1
NM_020728	ESYT2
NM_031913	ESYT3
NM_019002	ETAA1
NM_001355522	ETDA
NM_001355519	ETDB
NM_001358449	ETDC
NM_004730	ETF1
NG_001028	ETF1P1
	ETF1P2
	ETF1P3
NM_000126	ETFA
	ETFB
NM_173802	ETFBKMT
	ETFDH
NM_001001660	ETFRF1
	ETFRF1P1
NM_014297	ETHE1
	ETK1
	ETK2
	ETM1
	ETM2
NM_018638	ETNK1
NR_135030	ETNK1-DT
NM_018208	ETNK2
NM_031279	ETNPPL
NM_005238	ETS1
NR_120581	ETS1-AS1
	ETS2
	ETS2-AS1
NG_022640	ETS2P1
NM_004956	ETV1
NM_014209	ETV2
NM_005240	ETV3
NM_001004341	ETV3L
NM_001986	ETV4
NM_004454	ETV5
	ETV5-AS1
NM_001987	ETV6
NM_016135	ETV7
	ETV7-AS1
	EUDAL
NM_032181	EVA1A
NR_110281	EVA1A-AS
NM_018166	EVA1B
NM_058187	EVA1C
	EVA1CP1
	EVA1CP2
	EVA1CP3
	EVA1CP4
	EVA1CP5
	EVA1CP6
	EVC
NM_147127	EVC2
NM_014210	EVI2A
NM_006495	EVI2B
NM_005665	EVI5
NM_145245	EVI5L
	EVI9
	EVL
	EVL-AS1
NM_001988	EVPL
NM_001145127	EVPLL
	EVR1
	EVR2
	EVR3
	EVX1
	EVX1-AS
	EVX2
NR_026949	EWSAT1
NM_005243	EWSR1
	EWSR1P1
	EWSR1P2
	EWSR2
NM_152596	EXD1
	EXD2
NM_017820	EXD3
	EXLD1
NM_006027	EXO1
NM_022774	EXO5
	EXO5-DT
NM_018261	EXOC1
	EXOC1-AS1
NM_001351574	EXOC1L
	EXOC1L-AS1
NM_018303	EXOC2
NM_007277	EXOC3
NR_126522	EXOC3-AS1
NM_178516	EXOC3L1
NM_138568	EXOC3L2
NM_001077594	EXOC3L4
NM_021807	EXOC4
NM_006544	EXOC5
	EXOC5P1
NM_019053	EXOC6
NM_001321729	EXOC6B
NM_015219	EXOC7
	EXOC7P1
NM_175876	EXOC8
NM_005107	EXOG
	EXOGP1
	EXOSC1
NM_014285	EXOSC2
NM_016042	EXOSC3
	EXOSC3P1
	EXOSC3P2
NM_019037	EXOSC4
NM_020158	EXOSC5
NM_058219	EXOSC6
NM_015004	EXOSC7
NM_181503	EXOSC8
NG_009913	EXOSC8P1
NM_005033	EXOSC9
NM_001001998	EXOSC10
NR_135061	EXOSC10-AS1
NM_015065	EXPH5
NM_000127	EXT1
NM_000401	EXT2
	EXT3
NM_004455	EXTL1
NM_001439	EXTL2
	EXTL2P1
NM_001440	EXTL3
	EXTL3-AS1
NM_000503, NM_172060	EYA1
NM_005244	EYA2
	EYA2-AS1
NM_001990	EYA3
	EYA3-IT1
NM_004100	EYA4
	EYA4-AS2
	EYCL1
	EYCL2
	EYCL3
NM_001292009	EYS
NM_001991	EZH1
NM_004456	EZH2
	EZH2P1
NM_203407	EZHIP
NM_003379	EZR
	EZR-AS1
NG_007134	EZRP1
	F2
	F2L
NM_001992	F2R
	F2R-AS1
NM_005242	F2RL1
NM_004101	F2RL2
NM_003950	F2RL3
NM_001993	F3
NM_000130	F5
	F5F8D
NM_000131	F7
	F7R
	F8
NM_012151	F8A1
NM_001007523	F8A2
NM_001007524	F8A3
	F8C
	F8VWF
	F8VWFP
	F9
	F10
	F10-AS1
	F10-AS2
	F11
NR_033901	F11-AS1
NM_016946	F11R
NM_000505	F12
NM_000129	F13A1
	F13A2
	F13A3
NM_001994	F13B
	FA1
NM_024306	FA2H
NM_001441	FAAH
NM_174912	FAAH2
NR_045483	FAAHP1
NM_182533	FAAP20
NM_152266	FAAP24
NM_025161	FAAP100
NM_001443	FABP1
NM_000134	FABP2
NM_004102	FABP3
	FABP3P2
NM_001442	FABP4
NM_001444	FABP5
NG_006997	FABP5P1
NG_009322	FABP5P2
NR_002935	FABP5P3
	FABP5P4
	FABP5P5
NG_008825	FABP5P6
NG_009321	FABP5P7
NG_009324	FABP5P8
NG_009323	FABP5P9
NG_008710	FABP5P10
NG_002376	FABP5P11
NG_009509	FABP5P12
	FABP5P13
	FABP5P14
	FABP5P15
NM_001040442	FABP6
	FABP6-AS1
NM_001446	FABP7
	FABP7P1
	FABP7P2
NM_001080526	FABP9
	FABP11
NM_001105281	FABP12
	FABP12P1
	FACA
	FACC
	FACD
	FACE
	FACL1
	FACVL1
NM_003824	FADD
NM_013402	FADS1
NM_004265	FADS2
NG_032737	FADS2B
	FADS3
	FADS6
	FAEES3
NM_007051	FAF1
	FAF1-AS1
NM_014613	FAF2
NG_022153	FAF2P1
	FAH
NM_001018104	FAHD1
NM_016044	FAHD2A
NM_199336	FAHD2B
NR_003698	FAHD2CP
NG_006649	FAHD2P1
NM_001033032	FAIM
NM_012306	FAIM2
	FAK2
NR_051960	FALEC
	FAM3A
NM_058186	FAM3B
NM_001040020	FAM3C
NG_002950	FAM3C2P
NM_138805	FAM3D
	FAM3D-AS1
	FAM4A1
	FAM6A
	FAM7A4
	FAM7A5
	FAM7B1
	FAM8A1
	FAM8A2P
	FAM8A3P
NG_003135	FAM8A4P
NG_001298	FAM8A5P
	FAM8A6P
NG_003134	FAM8A7P
	FAM8A8P
NG_003136	FAM8A9P
NG_003137	FAM8A10P
NM_174951	FAM9A
NM_205849	FAM9B
NM_174901	FAM9C
	FAM9CP1
	FAM13A
NR_002806	FAM13A-AS1
	FAM13B
NR_037900	FAM13B-AS1
	FAM13C
NM_017565	FAM20A
NM_014864	FAM20B
NG_025766	FAM20BP1
NM_020223	FAM20C
	FAM21B
	FAM22C
	FAM23B
NM_001029888	FAM24A
NM_152644	FAM24B
	FAM25A
NR_104039	FAM25BP
	FAM25C
	FAM25D
NR_172103	FAM25EP
NM_001137549	FAM25G
	FAM25HP
	FAM27A
	FAM27AP1
NR_027422	FAM27B
NR_027421	FAM27C
	FAM27D1
	FAM27E1
NR_103714	FAM27E2
NR_103833	FAM27E3
	FAM27E4
NR_028336	FAM27E5
NR_026800	FAM30A
	FAM30B
NR_145444	FAM30C
NM_014077	FAM32A
NG_008703	FAM32BP
	FAM32CP
	FAM32DP
	FAM32EP
	FAM35EP
	FAM38B2
NR_028083	FAM41AY1
NR_028084	FAM41AY2
	FAM41BY
NR_027055	FAM41C
NM_153690	FAM43A
NM_207334	FAM43B
NM_203408	FAM47A
NM_152631	FAM47B
NM_001013736	FAM47C
NG_008058	FAM47DP
NM_001136570	FAM47E
	FAM47E-STBD1
NM_004699	FAM50A
NM_012135	FAM50B
NM_001013622	FAM53A
NM_014661	FAM53B
XR_246199	FAM53B-AS1
NM_016605	FAM53C
NR_026789	FAM66A
NR_027423	FAM66B
NR_026788	FAM66C
NR_027425	FAM66D
	FAM66E
	FAM67A
	FAM67B
	FAM72A
	FAM72B
	FAM72C
NM_207418	FAM72D
NR_026803	FAM74A1
	FAM74A2
NR_026801	FAM74A3
NR_026802	FAM74A4
	FAM74A5
NG_009678.1	FAM74A6
XR_078406	FAM74A7
NM_152660	FAM76A
	FAM76AP1
NM_144664	FAM76B
NM_033387	FAM78A
NM_001017961	FAM78B
	FAM78B-AS1
NM_152450	FAM81A
NM_152548	FAM81B
	FAM81B-DT
NM_032899	FAM83A
NR_024479	FAM83A-AS1
	FAM83A-AS2
NM_001010872	FAM83B
	FAM83C
	FAM83C-AS1
	FAM83D
NM_017708	FAM83E
NM_138435	FAM83F
	FAM83G
NM_198488	FAM83H
	FAM83H-AS1
NR_146925	FAM85A
NR_147089	FAM85B
NM_032916	FAM86B1
NM_001137610	FAM86B2
NR_040091	FAM86B2-DT
	FAM86B3P
XR_004643250	FAM86C1P
	FAM86C2P
NR_024241	FAM86DP
	FAM86EP
	FAM86FP
	FAM86GP
	FAM86HP
NR_024251	FAM86JP
	FAM86KP
NG_006619	FAM86LP
NG_008782	FAM86MP
	FAM87A
	FAM87B
NR_126047	FAM88B
NR_126048	FAM88C
NR_126049	FAM88D
NR_126050	FAM88E
NR_147619	FAM88F
NM_198552	FAM89A
NM_152832	FAM89B
NM_018088	FAM90A1
NR_046354	FAM90A2P
NM_001423528	FAM90A3
NG_006005	FAM90A4P
NM_001423529	FAM90A5
NG_006009	FAM90A6P
NM_001397387	FAM90A7
NM_001164450	FAM90A8
NM_001164448	FAM90A9
NM_001164447	FAM90A10
NM_001423539	FAM90A11
NM_001423531	FAM90A12
NM_001423526	FAM90A13
NM_001164452	FAM90A14
NM_001423538	FAM90A15
NM_001397396	FAM90A16
NM_001397391	FAM90A17
NM_001164451	FAM90A18
NM_001164449	FAM90A19
NM_001423532	FAM90A20
NG_005998	FAM90A21P
NM_001397382	FAM90A22
NM_001397380	FAM90A23
NM_001423530	FAM90A24
NG_032087	FAM90A25P
NM_001358418	FAM90A26
NR_046365	FAM90A27P
NG_028700	FAM90A28P
NM_144963	FAM91A1
	FAM91A2P
NG_007181	FAM91A3P
	FAM91A4P
	FAM93A
	FAM93B
NR_038409	FAM95A
NR_026759	FAM95B1
NR_047651	FAM95C
NM_015475	FAM98A
NM_173611	FAM98B
	FAM98BP1
NM_174905	FAM98C
	FAM99A
	FAM99B
NR_170998	FAM106A
NR_172097	FAM106B
NR_170993	FAM106C
	FAM106DP
NM_007177	FAM107A
NM_031453	FAM107B
	FAM108A11P
NM_031424	FAM110A
NM_147189	FAM110B
NM_001077710	FAM110C
NM_024869	FAM110D
NM_022074	FAM111A
NR_110184	FAM111A-DT
NM_198947	FAM111B
NM_138389	FAM114A1
NM_018691	FAM114A2
NM_030802	FAM117A
NM_173511	FAM117B
NM_017911	FAM118A
NM_024556	FAM118B
NM_014612	FAM120A
NR_166069	FAM120A2P
	FAM120AOS
NM_032448	FAM120B
NM_017848	FAM120C
NM_145019	FAM124A
NM_024785	FAM124B
NM_144635	FAM131A
NM_014690	FAM131B
	FAM131B-AS1
NR_161353	FAM131B-AS2
NM_182623	FAM131C
	FAM131C2P
NM_173698	FAM133A
NM_001040057	FAM133B
NR_027508	FAM133CP
NR_034169	FAM133DP
NG_030289	FAM133EP
NG_027047	FAM133FP
NG_023992	FAM133GP
	FAM133HP
NM_020819	FAM135A
NR_147708	FAM135A-AS1
NM_015912	FAM135B
NR_026818	FAM138A
NR_026821	FAM138B
NR_026822	FAM138C
NR_026823	FAM138D
NR_026819	FAM138E
NR_026820	FAM138F
NM_001006655	FAM149A
NM_173348	FAM149B1
	FAM149B1P1
NM_176782	FAM151A
NG_022289	FAM151AP1
NM_205548	FAM151B
	FAM151B-DT
NM_173663	FAM153A
NM_001079529	FAM153B
NR_149722	FAM153CP
	FAM153DP
NM_014138	FAM156A
	FAM156B
NR_146164	FAM157A
NR_146178	FAM157B
NR_126161	FAM157C
	FAM157D
NM_032180	FAM161A
NM_152445	FAM161B
NM_014367	FAM162A
NM_001085480	FAM162B
NM_173509	FAM163A
NM_001080515	FAM163B
	FAM167A
NR_026814	FAM167A-AS1
NM_032648	FAM167B
NM_015159	FAM168A
	FAM168A-AS1
NM_001009993	FAM168B
	FAM169A
NR_134288	FAM169A-AS1
NR_171054	FAM169BP
NM_182761	FAM170A
NM_001164484	FAM170B
NR_038973	FAM170B-AS1
NM_001010924	FAM171A1
	FAM171A1-AS1
NM_198475	FAM171A2
NM_177454	FAM171B
	FAM171B-AS1
NM_198507	FAM174A
	FAM174A-DT
NM_207446	FAM174B
NM_017914	FAM174C
NM_173607	FAM177A1
	FAM177A1P1
NM_207468	FAM177B
NM_016490	FAM178B
NM_205855	FAM180A
NM_001164379	FAM180B
NM_138344	FAM181A
NR_027004	FAM181A-AS1
NM_175885	FAM181B
NR_026713	FAM182A
NR_026714	FAM182B
NM_024581	FAM184A
NM_015688	FAM184B
NM_001145268	FAM185A
XM_001717516	FAM185BP
NM_001145475	FAM186A
NM_032130	FAM186B
	FAM187A
NM_152481	FAM187B
	FAM187B2P
NM_003704	FAM193A
NM_019057	FAM193B
	FAM193B-DT
	FAM197Y1
NR_001553	FAM197Y2
NR_145461	FAM197Y3
NR_145470	FAM197Y4
NR_046300	FAM197Y5
NR_145469	FAM197Y6
	FAM197Y7
NR_145468	FAM197Y8
NR_145462	FAM197Y9
	FAM197Y10
NM_207318	FAM199X
NG_002952	FAM199YP
NM_145111	FAM200A
NM_001145191	FAM200B
NM_022090	FAM200C
NR_027294	FAM201A
NR_135203	FAM201B
	FAM201CP
	FAM202A
	FAM202B
	FAM202C
	FAM203B
NM_022063	FAM204A
	FAM204BP
	FAM204CP
NG_027293	FAM204DP
	FAM209A
	FAM209B
NR_026770	FAM215A
	FAM215B
NM_013300	FAM216A
NM_182508	FAM216B
NM_173563	FAM217A
NG_021639	FAM217AP1
NM_022106	FAM217B
NR_160935	FAM218A
	FAM218BP
NM_001184940	FAM219A
NM_020447	FAM219B
NM_001037163	FAM220A
	FAM220BP
	FAM220CP
NM_199136	FAM221A
NM_001012446	FAM221B
NM_032829	FAM222A
NR_026661	FAM222A-AS1
NM_018182	FAM222B
NR_027401	FAM223A
NR_027402	FAM223B
NR_002161	FAM224A
NR_002160	FAM224B
NR_024366	FAM225A
NR_024376	FAM225B
NR_026595	FAM226A
NR_026594	FAM226B
NM_001013647	FAM227A
NM_152647	FAM227B
NM_001040710	FAM228A
NM_001145710	FAM228B
	FAM229A
NM_001033564	FAM229B
NR_136560	FAM230A
NR_108107	FAM230B
NR_027278	FAM230C
NR_136570	FAM230D
NR_136561	FAM230E
NR_136571	FAM230F
NR_136572	FAM230G
NR_136559	FAM230H
NR_110539	FAM230I
NR_136569	FAM230J
	FAM231AP
	FAM231BP
	FAM231C
	FAM231D
	FAM231EP
NM_032039	FAM234A
NM_020853	FAM234B
NM_001348071	FAM236A
NM_001348072	FAM236B
	FAM236C
	FAM236D
	FAM237A
	FAM237B
NR_026793	FAM238A
NR_026794	FAM238B
NR_026795	FAM238C
	FAM239A
	FAM239B
	FAM239C
NM_001195442	FAM240A
	FAM240B
	FAM240C
NM_152400	FAM241A
NM_145306	FAM241B
	FAM242A
NR_133643	FAM242B
	FAM242C
	FAM242D
	FAM242E
	FAM242F
	FAM243B
NR_046091	FAM245A
	FAM245B
	FAM246A
	FAM246B
	FAM246C
XR_938017	FAM247A
	FAM247B
	FAM247C
	FAM247D
NM_014967	FAN1
	FANCA
NM_152633	FANCB
NM_000136	FANCC
	FANCD1
	FANCD2
NM_173472	FANCD2OS
	FANCD2P1
	FANCD2P2
	FANCE
NM_022725	FANCF
NM_004629	FANCG
	FANCH
NM_018193	FANCI
NM_018062	FANCL
NM_020937	FANCM
NM_145235	FANK1
	FANK1-AS1
	FAP
NM_032228	FAR1
	FAR1-IT1
	FAR1P1
NM_018099	FAR2
	FAR2-AS1
NR_026758	FAR2P1
	FAR2P2
	FAR2P3
NG_023727	FAR2P4
NM_005766	FARP1
	FARP1-AS1
	FARP1-IT1
	FARP2
NM_006567	FARS2
NR_125846	FARS2-AS1
NM_004461	FARSA
	FARSA-AS1
NM_005687	FARSB
NG_005861	FARSBP1
	FAS
NR_028371	FAS-AS1
	FAS1
	FASLG
NM_004104	FASN
NM_006712	FASTK
NM_024622	FASTKD1
NM_014929	FASTKD2
NM_024091	FASTKD3
NM_021826	FASTKD5
NM_005245	FAT1
	FAT1P1
NM_001447	FAT2
NM_001008781	FAT3
NM_024582	FAT4
NM_033085	FATE1
NM_001997	FAU
	FAUNA@
NG_001306	FAUP1
NG_010095	FAUP2
NG_010102	FAUP3
NR_160547	FAUP4
NM_032511	FAXC
NM_032385	FAXDC2
NM_001080542	FBF1
NM_032807	FBH1
NM_001436	FBL
NM_001024215	FBLIM1
NG_022635	FBLIM1P1
