miRNA	gene	support type	miR_disease_num	gene_disease_num	label	MISIM_value
hsa-let-7b	CDC34	TargetScan;miRDB;miRTarBase;miRWalk	103	24	1	0.2217853891962563
hsa-let-7b	CDK6	TargetScan;miRTarBase;miRWalk	103	266	1	0.7396367856032033
hsa-let-7b	COL3A1	TargetScan;miRDB;miRTarBase	103	301	1	0.5779431590983158
hsa-let-7b	CPEB1	TargetScan;miRDB;miRTarBase;miRWalk	103	57	1	0.2986855664352382
hsa-let-7b	CPEB3	TargetScan;miRDB;miRTarBase;miRWalk	103	14	1	0.2110857005539039
hsa-let-7b	CTHRC1	TarBase;miRDB;miRTarBase;miRWalk	103	105	1	0.4720130322160417
hsa-let-7b	CYP2J2	TarBase;miRTarBase;miRWalk	103	65	1	0.6316067561905796
hsa-let-7b	DICER1	TargetScan;miRDB;miRTarBase;miRWalk	103	302	1	0.7053205817544929
hsa-let-7b	EDN1	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	103	680	1	0.7021273111654766
hsa-let-7b	GNG5	TargetScan;miRDB;miRTarBase	103	6	1	0.3078111387557676
hsa-let-7b	HAS2	TargetScan;miRDB;miRTarBase;miRWalk	103	85	1	0.6386246075337054
hsa-let-7b	HMGA1	TargetScan;miRDB;miRTarBase;miRWalk	103	206	1	0.7670341131081098
hsa-let-7b	HMGA2	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	103	382	1	0.7671807026135735
hsa-let-7b	HRAS	miRTarBase	103	698	1	0.7033949048074063
hsa-let-7b	IFNB1	miRTarBase	103	426	1	0.7596004410628893
hsa-let-7b	IGF1R	TarBase;TargetScan;miRDB;miRTarBase	103	556	1	0.7949988481835469
hsa-let-7b	IGF2BP1	TargetScan;miRDB;miRTarBase;miRWalk	103	106	1	0.6648683329661735
hsa-let-7b	IGF2BP2	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	103	94	1	0.487252921326743
hsa-let-7b	IRS2	TargetScan;miRDB;miRTarBase;miRWalk	103	152	1	0.876274992872748
hsa-let-7b	LIN28A	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	103	161	1	0.609461044720705
hsa-let-7b	LIN28B	TargetScan;miRDB;miRTarBase;miRWalk	103	126	1	0.5765998732010044
hsa-let-7b	NKD1	TargetScan;miRTarBase;miRWalk	103	58	1	0.3838766526221306
hsa-let-7b	NR2E1	miRTarBase;miRWalk	103	57	1	0.5521316691156158
hsa-let-7b	NRAS	TargetScan;miRDB;miRTarBase;miRWalk	103	611	1	0.7312070034624485
hsa-let-7b	PRDM1	TarBase;TargetScan;miRTarBase	103	126	1	0.6351736899592167
hsa-let-7b	RBM38	TargetScan;miRDB;miRTarBase;miRWalk	103	37	1	0.2694172315040554
hsa-let-7b	RDH10	TargetScan;miRTarBase;miRWalk	103	14	1	0.2439913692222051
hsa-let-7b	RUNX2	miRTarBase;miRWalk	103	405	1	0.7000223520230283
hsa-let-7b	SEMA4C	TargetScan;miRDB;miRTarBase;miRWalk	103	16	1	0.1363577033123757
hsa-let-7b	SERP1	miRDB;miRTarBase;miRWalk	103	20	1	0.2149989422337309
hsa-let-7b	SNHG16	miRTarBase	103	59	1	0.3598485071765927
hsa-let-7b	SOCS1	TargetScan;miRTarBase;miRWalk	103	315	1	0.8096873002933194
hsa-let-7b	STAT1	miRTarBase;miRWalk	103	531	1	0.6894127788419895
hsa-let-7b	STAT5A	miRTarBase	103	318	1	0.7384335051878307
hsa-let-7b	TGFBR1	TargetScan;miRTarBase;miRWalk	103	347	1	0.7525208711236433
hsa-let-7b	TLR2	miRTarBase	103	749	1	0.6249813922839439
hsa-let-7b	TLR4	miRTarBase;miRWalk	103	1174	1	0.6197068464905159
hsa-let-7b	TNFRSF10B	miRTarBase;miRWalk	103	179	1	0.753094059844068
hsa-let-7b	UHRF1	miRTarBase;miRWalk	103	125	1	0.7304347294846614
hsa-let-7c	AGO1	TargetScan;miRTarBase;miRWalk	77	48	1	0.254811174881636
hsa-let-7c	BCL2L1	TargetScan;miRDB;miRTarBase;miRWalk	77	212	1	0.8697536122062299
hsa-let-7c	CCND1	TargetScan;miRDB;miRTarBase;miRWalk	77	859	1	0.7042277096190881
